time,angle,experiment,velocity,acceleration
0.7021,275.5,4,-43.668122270742295,-274.11757975630087
0.7708,272.5,4,-62.50000000000019,167.93397312210416
0.8396,268.2,4,-50.94614264919943,191.49119322825774
0.9083,264.7,4,-37.790697674418126,422.34118052717076
0.9771,262.1,4,-8.73362445414879,-63.28633034480476
1.0458,261.5,4,-13.081395348836883,570.9632080128148
1.1146,260.6,4,26.20087336244476,126.38788308279926
1.1833,262.4,4,34.88372093023307,381.5646838489257
1.2521,264.8,4,61.13537117903915,-255.17787505456238
1.3208,269.0,4,43.60465116279072,-104.86263474571818
1.3896,272.0,4,36.39010189228531,105.01527322424178
1.4583,274.5,4,43.60465116279072,-386.17552376486145
1.5271,277.5,4,17.035775127768257,-268.59863023463356
1.5858,278.5,4,1.2690355329952128,-311.6586388839866
1.6646,278.6,4,-23.28966521106293,-316.86279947337914
1.7333,277.0,4,-45.05813953488407,-22.110332663385986
1.8021,273.9,4,-46.579330422125025,-62.48562738181676
1.8708,270.7,4,-50.872093023255836,168.17998516843025
1.9396,267.2,4,-39.30131004366784,148.93075111801065
2.0083,264.5,4,-29.069767441860478,105.17014980362248
2.0771,262.5,4,-21.834061135371254,
2.1458,261.0,4,,
0.0187,260.7,5,15.988372093023587,338.85084230587745
0.0875,261.8,5,39.301310043667954,41.48257273696343
0.1562,264.5,5,42.15116279069734,63.37885343430321
0.225,267.4,5,46.5116279069774,254.8684799919245
0.2938,270.6,5,64.0465793304218,-337.12837006955266
0.3625,275.0,5,40.88586030664354,-350.61825858133665
0.4212,277.4,5,20.304568527919074,-313.0885882613386
0.5,279.0,5,-4.366812227074402,-634.6186907131813
0.5687,278.7,5,-47.96511627906995,612.5392438416375
0.6375,275.4,5,-5.822416302765308,-549.9597505098305
0.7062,275.0,5,-43.60465116279072,2006.997025419147
0.775,272.0,5,94.47674418604655,-2113.704750512297
0.8438,278.5,5,-50.94614264919943,148.3148257618592
0.9125,275.0,5,-40.756914119359706,-1755.1716911639767
0.9812,272.2,5,-161.33720930232488,2302.7035051008897
1.05,261.1,5,-2.9112081513834864,423.20231221336377
1.1187,260.9,5,26.162790697674595,169.8098149753265
1.1875,262.7,5,37.845705967977054,2241.8451113289952
1.2562,265.3,5,191.860465116279,-4182.131854737711
1.325,278.5,5,-95.8702064896754,2260.4574582873865
1.3928,272.0,5,57.38880918220957,-614.5303934762629
1.4625,276.0,5,14.556040756914124,211.26239716078985
1.5312,277.0,5,29.06976744186038,-633.7885343428851
1.6,279.0,5,-14.534883720930239,-42.62158702567651
1.6688,278.0,5,-17.46724890829678,-233.06615476864442
1.7375,276.8,5,-33.47889374090265,-337.8042615826049
1.8062,274.5,5,-56.6860465116276,-1.198008100990867e-11
1.875,270.6,5,-56.686046511628426,252.68512308082256
1.9438,266.7,5,-39.30131004366784,254.253987020328
2.0125,264.0,5,-21.834061135371254,-84.16619991842634
2.0812,262.5,5,-27.616279069767124,
2.15,260.6,5,,
