time,position,bar_height,experiment,velocity,acceleration
7.608,0.226,0.157,3,0.30303030303029915,0.9182736455463787
7.641,0.236,0.157,3,0.33333333333333,-7.42721330956605
7.674,0.247,0.157,3,0.08823529411764763,
7.708,0.25,0.157,3,,
11.912,0.193,0.129,4,0.0,0.8912655971479934
11.945,0.193,0.129,4,0.029411764705883314,0.9174792911816484
11.979,0.194,0.129,4,0.060606060606058366,0.9182736455464522
12.012,0.196,0.129,4,0.09090909090909244,0.8102414519525786
12.045,0.199,0.129,4,0.1176470588235271,0.9961203732831003
12.079,0.203,0.129,4,0.1515151515151532,0.9182736455464287
12.112,0.208,0.129,4,0.18181818181818488,-0.16204829039073643
12.145,0.214,0.129,4,0.17647058823529066,1.0485477613507144
12.179,0.22,0.129,4,0.21212121212121568,0.7022092583587303
12.212,0.227,0.129,4,0.2352941176470534,1.1009751494183277
12.246,0.235,0.129,4,0.2727272727272773,0.0
12.279,0.244,0.129,4,0.2727272727272773,
12.312,0.253,0.129,4,,
6.74,0.192,0.131,5,0.0,0.8912655971479468
6.773,0.192,0.131,5,0.029411764705881777,0.9174792911817415
6.807,0.193,0.131,5,0.06060606060606163,0.8372495003511045
6.84,0.195,0.131,5,0.08823529411764763,0.07864108210124639
6.874,0.198,0.131,5,0.09090909090909,1.836547291092681
6.907,0.201,0.131,5,0.15151515151514913,-0.13504024199201123
6.94,0.206,0.131,5,0.1470588235294127,1.0223340673168342
6.974,0.211,0.131,5,0.18181818181818488,0.9182736455462301
7.007,0.217,0.131,5,0.21212121212121,0.702209258359094
7.04,0.224,0.131,5,0.23529411764706035,0.20970955226996535
7.074,0.232,0.131,5,0.24242424242423913,0.9182736455466016
7.107,0.24,0.131,5,0.2727272727272773,
7.14,0.249,0.131,5,,
2.402,0.193,0.115,6,0.0,0.891265597147958
2.436,0.193,0.115,6,0.030303030303030404,0.0
2.469,0.194,0.115,6,0.030303030303030404,0.8642575487495149
2.502,0.195,0.115,6,0.05882352941176432,0.9436929852154898
2.536,0.197,0.115,6,0.09090909090909122,0.8102414519526265
2.569,0.2,0.115,6,0.11764705882352783,0.10485477613511068
2.603,0.204,0.115,6,0.12121212121212162,0.918273645546378
2.636,0.208,0.115,6,0.15151515151515202,-0.13504024199210052
2.669,0.213,0.115,6,0.1470588235294127,1.0223340673166905
2.703,0.218,0.115,6,0.18181818181818,7.401486830834296e-14
2.736,0.224,0.115,6,0.18181818181818243,0.7292173067574126
2.769,0.23,0.115,6,0.205882352941177,
2.803,0.237,0.115,6,,
2.169,0.193,0.1,7,0.0,0.8912655971479465
2.202,0.193,0.1,7,0.02941176470588216,0.02621369403377165
2.236,0.194,0.1,7,0.030303030303030404,0.9182736455463781
2.269,0.195,0.1,7,0.06060606060606081,-0.054016096796840204
2.302,0.197,0.1,7,0.05882352941176509,0.9436929852154439
2.336,0.199,0.1,7,0.09090909090909,1.1354553660938976e-14
2.369,0.202,0.1,7,0.09090909090909037,-0.08102414519523465
2.402,0.205,0.1,7,0.08823529411764763,0.9699066792492403
2.436,0.208,0.1,7,0.12121212121212162,0.0
2.469,0.212,0.1,7,0.12121212121212162,-0.10803219359372666
2.502,0.216,0.1,7,0.11764705882352865,0.9961203732830329
2.536,0.22,0.1,7,0.15151515151515202,-0.13504024199215853
2.569,0.225,0.1,7,0.1470588235294108,0.13106847016883397
2.603,0.23,0.1,7,0.1515151515151512,0.9182736455464037
2.636,0.235,0.1,7,0.18181818181818243,
2.669,0.241,0.1,7,,
0.334,0.193,0.165,8,0.0,0.9182736455463736
0.367,0.193,0.165,8,0.030303030303030304,0.8642575487495295
0.4,0.194,0.165,8,0.0588235294117648,1.8349585823634254
0.434,0.196,0.165,8,0.12121212121212122,1.836547291092728
0.467,0.2,0.165,8,0.1818181818181813,0.7292173067574298
0.5,0.206,0.165,8,0.20588235294117646,1.074761455384316
0.534,0.213,0.165,8,0.24242424242424324,0.6752012099605454
0.567,0.221,0.165,8,0.2647058823529412,2.018454440599742
0.601,0.23,0.165,8,0.3333333333333325,0.9182736455463981
